Client_Name,Client_ID,Risk_Profile,Risk_Profile_Desc,Investment_Objective,Knowledge_and_Experience,Client_Name_1,Client_ID_1,Ticker,Units,Date_of_Purchase,Unit_Price,Market_Value,Concentration
Lilly,C103,3,Conservative,1,No,Lilly,C103,DGX,25,2021-09-16,152.9130402,3822.826005,1
Lilly,C103,3,Conservative,1,No,Lilly,C103,JCI,25,2022-01-27,71.16396332,1779.099083,1
Raven,C223,3,Conservative,1,No,Raven,C223,IBM,16,2021-11-09,119.4116211,1910.585938,5
Raven,C223,3,Conservative,1,No,Raven,C223,KHC,17,2021-12-02,32.90164948,559.3280412,5
Raven,C223,3,Conservative,1,No,Raven,C223,TAP,16,2021-11-16,47.50139999,760.0223998,5
Raven,C223,3,Conservative,1,No,Raven,C223,BA,21,2022-03-08,173.8000031,3649.800065,5
Raven,C223,3,Conservative,1,No,Raven,C223,TER,28,2022-02-04,113.9047089,3189.331849,5
Raven,C223,3,Conservative,1,No,Raven,C223,QRVO,19,2022-03-10,125.5,2384.5,5
Raven,C223,3,Conservative,1,No,Raven,C223,HAL,30,2021-11-10,23.6990509,710.971527,5
Raven,C223,3,Conservative,1,No,Raven,C223,PPG,27,2021-10-25,158.8691254,4289.466386,5
Raven,C223,3,Conservative,1,No,Raven,C223,BBY,14,2021-10-25,118.6071777,1660.500488,5
Ronia,C145,3,Conservative,1,No,Ronia,C145,GM,11,2022-01-04,65.73999786,723.1399765,1
Ronia,C145,3,Conservative,1,No,Ronia,C145,ALLE,3,2021-12-31,131.9549561,395.8648683,1
Ronia,C145,3,Conservative,1,No,Ronia,C145,CPB,30,2022-03-09,42.27854919,1268.356476,2
Ronia,C145,3,Conservative,1,No,Ronia,C145,UHS,26,2021-12-01,116.2292633,3021.960846,3
Ronia,C145,3,Conservative,1,No,Ronia,C145,TMO,6,2022-02-25,549.5222168,3297.133301,3
Ronia,C145,3,Conservative,1,No,Ronia,C145,NUE,26,2022-01-03,112.6644516,2929.275742,3
Ronia,C145,3,Conservative,1,No,Ronia,C145,PLD,20,2021-11-01,143.4200439,2868.400878,3
Ronia,C145,3,Conservative,1,No,Ronia,C145,NVDA,12,2021-09-02,223.8944397,2686.733276,3
Ronia,C145,3,Conservative,1,No,Ronia,C145,TYL,6,2022-03-22,441.3299866,2647.97992,3
Scott,C183,2,Moderate,2,Yes,Scott,C183,BXP,22,2022-03-04,122.2491531,2689.481368,0
Scott,C183,2,Moderate,2,Yes,Scott,C183,PSX,19,2021-10-12,80.80342102,1535.264999,1
Scott,C183,2,Moderate,2,Yes,Scott,C183,SHW,6,2021-12-08,341.4270325,2048.562195,1
Scott,C183,2,Moderate,2,Yes,Scott,C183,PLD,26,2022-03-01,145.0150146,3770.39038,1
Scott,C183,2,Moderate,2,Yes,Scott,C183,KMB,7,2022-02-07,132.0791779,924.5542453,1
Scott,C183,2,Moderate,2,Yes,Scott,C183,STT,24,2022-02-02,96.96620941,2327.189026,1
Scott,C183,2,Moderate,2,Yes,Scott,C183,GNRC,19,2022-02-07,279.9700012,5319.430023,2
Scott,C183,2,Moderate,2,Yes,Scott,C183,ADBE,26,2022-01-31,534.2999878,13891.79968,3
Zeaan,C136,3,Conservative,1,No,Zeaan,C136,FB,12,2022-03-10,195.2100067,2342.52008,1
Zeaan,C136,3,Conservative,1,No,Zeaan,C136,PEAK,3,2022-01-10,35.5081749,106.5245247,1
Zeaan,C136,3,Conservative,1,No,Zeaan,C136,MKTX,5,2021-10-14,401.7579956,2008.789978,1
Zeaan,C136,3,Conservative,1,No,Zeaan,C136,ORCL,22,2022-01-28,80.16639709,1763.660736,1
Zeaan,C136,3,Conservative,1,No,Zeaan,C136,EXPD,30,2021-09-13,126.7673035,3803.019105,2
Zeaan,C136,3,Conservative,1,No,Zeaan,C136,HON,15,2022-01-24,203.3304138,3049.956207,2
Zeaan,C136,3,Conservative,1,No,Zeaan,C136,MKTX,16,2021-11-15,388.5342102,6216.547363,3
Adrian,C120,2,Moderate,2,Yes,Adrian,C120,NWS,3,2021-09-09,21.32977104,63.98931312,1
Adrian,C120,2,Moderate,2,Yes,Adrian,C120,INCY,22,2021-09-10,71.12000275,1564.640061,1
Adrian,C120,2,Moderate,2,Yes,Adrian,C120,MAS,24,2021-11-17,67.74385834,1625.8526,1
Adrian,C120,2,Moderate,2,Yes,Adrian,C120,PNR,17,2022-03-01,56.04000092,952.6800156,1
Adrian,C120,2,Moderate,2,Yes,Adrian,C120,J,20,2021-09-10,132.8493958,2656.987916,1
Adrian,C120,2,Moderate,2,Yes,Adrian,C120,PENN,28,2021-11-17,54.95999908,1538.879974,1
Adrian,C120,2,Moderate,2,Yes,Adrian,C120,D,15,2021-12-10,75.3274765,1129.912148,1
Angela,C139,3,Conservative,1,No,Angela,C139,MO,5,2021-12-06,42.85572815,214.2786408,1
Angela,C139,3,Conservative,1,No,Angela,C139,ADSK,4,2021-11-03,308.3699951,1233.47998,1
Angela,C139,3,Conservative,1,No,Angela,C139,MAS,19,2021-11-03,63.60559082,1208.506226,1
Angela,C139,3,Conservative,1,No,Angela,C139,AVB,11,2022-01-25,240.0131836,2640.14502,1
Avery ,C240,2,Moderate,2,Yes,Avery ,C240,DPZ,14,2022-03-14,386.1799927,5406.519898,1
Avery ,C240,2,Moderate,2,Yes,Avery ,C240,WDC,13,2021-11-17,56.49000168,734.3700218,1
Baskar,C102,1,Aggressive,3,Yes,Baskar,C102,RCL,15,2022-01-27,75.97000122,1139.550018,1
Baskar,C102,1,Aggressive,3,Yes,Baskar,C102,INTC,20,2022-01-05,53.46273804,1069.254761,1
Baskar,C102,1,Aggressive,3,Yes,Baskar,C102,CNP,14,2021-12-27,27.40563774,383.6789284,1
Baskar,C102,1,Aggressive,3,Yes,Baskar,C102,MET,5,2021-11-15,63.70367432,318.5183716,1
Baskar,C102,1,Aggressive,3,Yes,Baskar,C102,EXC,13,2022-02-14,41.8523674,544.0807762,1
Baskar,C102,1,Aggressive,3,Yes,Baskar,C102,AMGN,4,2021-10-04,207.897049,831.588196,1
Baskar,C102,1,Aggressive,3,Yes,Baskar,C102,CMS,20,2021-09-15,61.90339279,1238.067856,1
Baskar,C102,1,Aggressive,3,Yes,Baskar,C102,DXC,14,2021-10-13,33.40000153,467.6000214,1
Baskar,C102,1,Aggressive,3,Yes,Baskar,C102,CTLT,12,2021-09-03,140.3500061,1684.200073,1
Baskar,C102,1,Aggressive,3,Yes,Baskar,C102,J,29,2021-10-26,137.9993744,4001.981858,2
Baskar,C102,1,Aggressive,3,Yes,Baskar,C102,GS,28,2021-09-16,392.2852478,10983.98694,5
Isaiah,C113,1,Aggressive,3,Yes,Isaiah,C113,RF,14,2022-03-02,23.19303322,324.7024651,1
Isaiah,C113,1,Aggressive,3,Yes,Isaiah,C113,GLW,24,2021-10-05,36.42389297,874.1734313,1
Isaiah,C113,1,Aggressive,3,Yes,Isaiah,C113,CTXS,6,2021-09-20,109.7850342,658.7102052,1
Isaiah,C113,1,Aggressive,3,Yes,Isaiah,C113,WELL,3,2021-11-02,80.71783447,242.1535034,1
Isaiah,C113,1,Aggressive,3,Yes,Isaiah,C113,FAST,15,2022-01-25,55.37546921,830.6320382,1
Isaiah,C113,1,Aggressive,3,Yes,Isaiah,C113,CDNS,15,2022-02-18,134.9499969,2024.249954,3
Isaiah,C113,1,Aggressive,3,Yes,Isaiah,C113,RHI,21,2022-02-28,120.2900009,2526.090019,3
Isaiah,C113,1,Aggressive,3,Yes,Isaiah,C113,HII,14,2022-01-21,189.896637,2658.552918,3
Isaiah,C113,1,Aggressive,3,Yes,Isaiah,C113,PTC,22,2021-09-24,123.5199966,2717.439925,4
Isaiah,C113,1,Aggressive,3,Yes,Isaiah,C113,AON,21,2022-01-03,292.6864624,6146.41571,5
Isaiah,C113,1,Aggressive,3,Yes,Isaiah,C113,MOH,13,2021-12-20,299.0499878,3887.649841,5
Jacob ,C250,3,Conservative,1,No,Jacob ,C250,TSN,22,2022-01-20,90.01433563,1980.315384,1
Jacob ,C250,3,Conservative,1,No,Jacob ,C250,SHW,4,2021-09-29,281.1410828,1124.564331,1
Jacob ,C250,3,Conservative,1,No,Jacob ,C250,IBM,6,2022-01-19,130.013916,780.083496,1
Jacob ,C250,3,Conservative,1,No,Jacob ,C250,GOOG,10,2021-09-17,2829.27002,28292.7002,5
Kapil ,C292,3,Conservative,1,No,Kapil ,C292,RE,6,2022-01-06,272.7468872,1636.481323,1
Kapil ,C292,3,Conservative,1,No,Kapil ,C292,WMB,3,2022-03-10,32.49000168,97.47000504,1
Kapil ,C292,3,Conservative,1,No,Kapil ,C292,OMC,23,2022-01-19,76.25056458,1753.762985,1
Kapil ,C292,3,Conservative,1,No,Kapil ,C292,SYY,28,2022-01-11,77.98582458,2183.603088,2
Kapil ,C292,3,Conservative,1,No,Kapil ,C292,CI,12,2021-11-10,215.7293854,2588.752625,2
Kapil ,C292,3,Conservative,1,No,Kapil ,C292,MAR,23,2021-10-11,156.8200073,3606.860168,2
Kapil ,C292,3,Conservative,1,No,Kapil ,C292,MLM,15,2022-03-17,383.0799866,5746.199799,3
Kapil ,C292,3,Conservative,1,No,Kapil ,C292,ZBRA,29,2022-02-16,430.9700012,12498.13003,5
Miriam,C118,3,Conservative,1,No,Miriam,C118,ROST,2,2022-02-01,98.19192505,196.3838501,1
Miriam,C118,3,Conservative,1,No,Miriam,C118,TRMB,11,2022-01-31,72.16000366,793.7600403,1
Miriam,C118,3,Conservative,1,No,Miriam,C118,NCLH,28,2022-02-08,22.75,637.0,1
Miriam,C118,3,Conservative,1,No,Miriam,C118,DXC,20,2021-09-29,34.29000092,685.8000184,1
Miriam,C118,3,Conservative,1,No,Miriam,C118,MTCH,12,2022-02-08,112.4199982,1349.039978,2
Miriam,C118,3,Conservative,1,No,Miriam,C118,IBM,10,2022-03-17,127.9599991,1279.599991,2
Miriam,C118,3,Conservative,1,No,Miriam,C118,CMS,20,2021-09-13,62.10054016,1242.010803,2
Miriam,C118,3,Conservative,1,No,Miriam,C118,ANSS,9,2021-11-01,376.4400024,3387.960022,4
Miriam,C118,3,Conservative,1,No,Miriam,C118,NSC,22,2022-01-26,267.8389282,5892.45642,5
Miriam,C118,3,Conservative,1,No,Miriam,C118,ADBE,20,2021-11-26,662.0999756,13241.99951,5
Pushpa,C122,1,Aggressive,3,Yes,Pushpa,C122,STT,2,2021-10-26,97.06484222,194.1296844,1
Pushpa,C122,1,Aggressive,3,Yes,Pushpa,C122,TPR,2,2021-11-03,41.29987717,82.59975434,1
Pushpa,C122,1,Aggressive,3,Yes,Pushpa,C122,HRL,27,2022-02-24,46.79885101,1263.568977,1
Pushpa,C122,1,Aggressive,3,Yes,Pushpa,C122,STE,6,2021-12-16,230.4586182,1382.751709,1
Pushpa,C122,1,Aggressive,3,Yes,Pushpa,C122,VTR,21,2022-01-18,51.93534851,1090.642319,1
Pushpa,C122,1,Aggressive,3,Yes,Pushpa,C122,PH,10,2022-03-11,270.980011,2709.80011,1
Pushpa,C122,1,Aggressive,3,Yes,Pushpa,C122,SEE,8,2022-01-14,67.48978424,539.9182739,1
Pushpa,C122,1,Aggressive,3,Yes,Pushpa,C122,SJM,21,2021-09-29,120.3405838,2527.15226,1
Pushpa,C122,1,Aggressive,3,Yes,Pushpa,C122,APH,17,2021-09-30,72.86204529,1238.65477,1
Pushpa,C122,1,Aggressive,3,Yes,Pushpa,C122,MRK,2,2021-11-26,77.72467804,155.4493561,1
Ramesh,C109,3,Conservative,1,No,Ramesh,C109,JCI,16,2021-11-04,73.08631897,1169.381104,1
Ramesh,C109,3,Conservative,1,No,Ramesh,C109,CNC,18,2021-11-24,75.61000061,1360.980011,1
Seetha,C173,1,Aggressive,3,Yes,Seetha,C173,DISH,14,2021-12-14,32.22000122,451.0800171,1
Seetha,C173,1,Aggressive,3,Yes,Seetha,C173,CTXS,16,2021-11-03,93.7602005,1500.163208,1
Seetha,C173,1,Aggressive,3,Yes,Seetha,C173,CF,24,2021-12-14,61.99668884,1487.920532,1
Seetha,C173,1,Aggressive,3,Yes,Seetha,C173,TXT,5,2021-10-11,71.11074066,355.5537033,1
Seetha,C173,1,Aggressive,3,Yes,Seetha,C173,REG,19,2022-01-11,75.67569733,1437.838249,1
Seetha,C173,1,Aggressive,3,Yes,Seetha,C173,DHI,15,2021-10-12,83.31510162,1249.726524,1
Seetha,C173,1,Aggressive,3,Yes,Seetha,C173,K,11,2022-01-26,64.22777557,706.5055313,1
Seetha,C173,1,Aggressive,3,Yes,Seetha,C173,BAX,3,2021-10-22,81.61608124,244.8482437,1
Seetha,C173,1,Aggressive,3,Yes,Seetha,C173,CPT,24,2021-11-10,162.9136963,3909.928711,2
Sriram,C105,2,Moderate,2,Yes,Sriram,C105,MRO,29,2022-01-28,19.77452278,573.4611606,1
Sriram,C105,2,Moderate,2,Yes,Sriram,C105,AXP,24,2022-03-10,169.1199493,4058.878783,1
Sriram,C105,2,Moderate,2,Yes,Sriram,C105,LNC,24,2022-02-03,66.78275299,1602.786072,1
Sriram,C105,2,Moderate,2,Yes,Sriram,C105,TWTR,23,2021-10-01,61.97999954,1425.539989,1
Sriram,C105,2,Moderate,2,Yes,Sriram,C105,DAL,20,2022-02-14,41.97000122,839.4000244,1
Sriram,C105,2,Moderate,2,Yes,Sriram,C105,V,26,2021-09-08,228.3159485,5936.214661,1
Sriram,C105,2,Moderate,2,Yes,Sriram,C105,PEG,21,2021-11-04,62.66578293,1315.981442,1
Sriram,C105,2,Moderate,2,Yes,Sriram,C105,GL,26,2022-02-16,105.6715851,2747.461213,1
Sriram,C105,2,Moderate,2,Yes,Sriram,C105,NXPI,12,2021-11-05,222.6227264,2671.472717,1
Sriram,C105,2,Moderate,2,Yes,Sriram,C105,DXCM,30,2021-10-07,539.1900024,16175.70007,3
Sriram,C105,2,Moderate,2,Yes,Sriram,C105,CMG,27,2022-01-05,1594.550049,43052.85132,5
Stella,C116,1,Aggressive,3,Yes,Stella,C116,DIS,8,2021-11-02,169.8300018,1358.640014,1
Stella,C116,1,Aggressive,3,Yes,Stella,C116,EA,4,2022-03-03,127.6678696,510.6714784,1
Stella,C116,1,Aggressive,3,Yes,Stella,C116,ORCL,23,2021-11-05,94.22994995,2167.288849,1
Stella,C116,1,Aggressive,3,Yes,Stella,C116,MNST,3,2022-02-28,84.40000153,253.2000046,1
Stella,C116,1,Aggressive,3,Yes,Stella,C116,BRO,20,2021-09-28,55.61371613,1112.274323,1
Stella,C116,1,Aggressive,3,Yes,Stella,C116,C,17,2021-12-30,59.95774841,1019.281723,1
Stella,C116,1,Aggressive,3,Yes,Stella,C116,HSY,19,2021-09-22,170.7611084,3244.46106,2
Stella,C116,1,Aggressive,3,Yes,Stella,C116,CZR,26,2021-10-07,116.1500015,3019.900039,2
Stella,C116,1,Aggressive,3,Yes,Stella,C116,MTCH,28,2021-11-23,135.0700073,3781.960204,2
Stella,C116,1,Aggressive,3,Yes,Stella,C116,ALGN,11,2021-09-08,729.9199829,8029.119812,4
Vikram,C124,3,Conservative,1,No,Vikram,C124,KEY,19,2022-02-07,26.20644379,497.922432,1
Vikram,C124,3,Conservative,1,No,Vikram,C124,PPL,21,2021-12-16,29.25573158,614.3703632,2
Vikram,C124,3,Conservative,1,No,Vikram,C124,INCY,11,2022-03-04,70.05000305,770.5500336,2
Vikram,C124,3,Conservative,1,No,Vikram,C124,HAS,8,2021-12-27,98.57926178,788.6340942,2
Vikram,C124,3,Conservative,1,No,Vikram,C124,TMUS,5,2021-09-21,124.9000015,624.5000075,2
Vikram,C124,3,Conservative,1,No,Vikram,C124,AXP,13,2022-01-03,167.3139496,2175.081345,5
Vivek ,C299,1,Aggressive,3,Yes,Vivek ,C299,KEY,20,2021-10-11,22.48080826,449.6161652,1
Vivek ,C299,1,Aggressive,3,Yes,Vivek ,C299,APTV,21,2022-03-10,105.6800003,2219.280006,4
Vivek ,C299,1,Aggressive,3,Yes,Vivek ,C299,CBOE,23,2021-10-11,124.6838913,2867.7295,5
Vivek ,C299,1,Aggressive,3,Yes,Vivek ,C299,MAR,21,2021-11-23,157.4400024,3306.24005,5
Walter,C182,1,Aggressive,3,Yes,Walter,C182,PYPL,9,2021-09-21,269.4899902,2425.409912,3
Walter,C182,1,Aggressive,3,Yes,Walter,C182,SHW,26,2021-11-30,330.4724731,8592.284301,5
Wileen,C106,3,Conservative,1,No,Wileen,C106,RHI,4,2022-01-21,108.5937119,434.3748476,1
Wileen,C106,3,Conservative,1,No,Wileen,C106,CPB,30,2021-11-08,40.1341362,1204.024086,1
Wileen,C106,3,Conservative,1,No,Wileen,C106,IR,25,2022-03-07,44.88000107,1122.000027,1
Wileen,C106,3,Conservative,1,No,Wileen,C106,MSFT,10,2021-12-09,332.4126587,3324.126587,1
Wileen,C106,3,Conservative,1,No,Wileen,C106,VRSN,11,2021-10-19,215.5899963,2371.489959,1
Wileen,C106,3,Conservative,1,No,Wileen,C106,EIX,19,2021-09-10,56.29724884,1069.647728,1
Wileen,C106,3,Conservative,1,No,Wileen,C106,FFIV,18,2021-10-01,201.3899994,3625.019989,1
Wileen,C106,3,Conservative,1,No,Wileen,C106,CHD,26,2022-03-09,97.05999756,2523.559937,1
Wileen,C106,3,Conservative,1,No,Wileen,C106,NEE,29,2021-09-13,83.74323273,2428.553749,1
Wileen,C106,3,Conservative,1,No,Wileen,C106,TYL,15,2022-03-16,415.0700073,6226.05011,2
Adeline,C138,2,Moderate,2,Yes,Adeline,C138,MRO,27,2021-12-14,15.12990189,408.507351,1
Adeline,C138,2,Moderate,2,Yes,Adeline,C138,APTV,10,2022-01-12,159.7899933,1597.899933,2
Adeline,C138,2,Moderate,2,Yes,Adeline,C138,LMT,12,2021-11-19,336.3227539,4035.873047,4
Adeline,C138,2,Moderate,2,Yes,Adeline,C138,POOL,29,2022-01-25,459.1479187,13315.28964,5
Adeline,C138,2,Moderate,2,Yes,Adeline,C138,AMGN,22,2022-03-10,226.9499969,4992.899932,5
Adeline,C138,2,Moderate,2,Yes,Adeline,C138,REGN,10,2021-10-08,550.0200195,5500.200195,5
Alvarez,C252,2,Moderate,2,Yes,Alvarez,C252,SRE,27,2021-10-11,121.1992645,3272.380142,0
Alvarez,C252,2,Moderate,2,Yes,Alvarez,C252,CPB,9,2021-11-01,39.74075699,357.6668129,1
Alvarez,C252,2,Moderate,2,Yes,Alvarez,C252,CTRA,22,2021-11-05,21.05494499,463.2087898,1
Alvarez,C252,2,Moderate,2,Yes,Alvarez,C252,SLB,2,2021-12-07,30.66452026,61.32904052,1
Alvarez,C252,2,Moderate,2,Yes,Alvarez,C252,KEYS,17,2021-10-11,161.6799927,2748.559876,1
Alvarez,C252,2,Moderate,2,Yes,Alvarez,C252,MTCH,17,2021-11-12,146.9499969,2498.149947,1
Alvarez,C252,2,Moderate,2,Yes,Alvarez,C252,BKR,9,2021-12-14,23.91556931,215.2401238,1
Alvarez,C252,2,Moderate,2,Yes,Alvarez,C252,IRM,3,2021-10-01,42.88977432,128.669323,1
Anabel ,C162,1,Aggressive,3,Yes,Anabel ,C162,FBHS,15,2022-01-14,101.1425781,1517.138671,1
Anabel ,C162,1,Aggressive,3,Yes,Anabel ,C162,MS,14,2022-02-24,91.80999756,1285.339966,1
Bernice,C117,2,Moderate,2,Yes,Bernice,C117,HRL,18,2021-11-26,42.37588501,762.7659302,1
Bernice,C117,2,Moderate,2,Yes,Bernice,C117,NWSA,7,2021-12-21,21.59720612,151.1804428,1
Bernice,C117,2,Moderate,2,Yes,Bernice,C117,ANET,22,2021-09-10,87.73000336,1930.060074,2
Brandon,C181,3,Conservative,1,No,Brandon,C181,TJX,8,2021-11-23,70.68811798,565.5049438,1
Brandon,C181,3,Conservative,1,No,Brandon,C181,EW,10,2021-10-08,108.7300034,1087.300034,1
Brandon,C181,3,Conservative,1,No,Brandon,C181,WHR,11,2021-12-20,218.1856689,2400.042358,2
Brandon,C181,3,Conservative,1,No,Brandon,C181,CI,12,2021-12-31,228.5487213,2742.584656,2
Brandon,C181,3,Conservative,1,No,Brandon,C181,EXR,29,2022-03-09,196.4588623,5697.307007,3
Brandon,C181,3,Conservative,1,No,Brandon,C181,TMO,18,2021-12-21,644.9787598,11609.61768,5
Brianna,C237,2,Moderate,2,Yes,Brianna,C237,EW,25,2021-10-18,111.0899963,2777.249908,1
Brianna,C237,2,Moderate,2,Yes,Brianna,C237,BR,16,2021-10-26,182.7601929,2924.163086,1
Brianna,C237,2,Moderate,2,Yes,Brianna,C237,SEE,10,2022-01-20,67.88854218,678.8854218,1
Brianna,C237,2,Moderate,2,Yes,Brianna,C237,FANG,6,2022-02-04,131.4802399,788.8814394,1
Brooke ,C209,1,Aggressive,3,Yes,Brooke ,C209,NLOK,5,2022-01-28,25.52630806,127.6315403,1
Brooke ,C209,1,Aggressive,3,Yes,Brooke ,C209,WEC,17,2022-03-11,93.86000061,1595.62001,1
